id_str,created_at,retweeted_status.user.screen_name,text,entities.user_mentions.0.screen_name,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.urls.0.url,entities.media.0.media_url,retweet_count
471684877364899841,Wed May 28 16:10:12 +0000 2014,UN_Radio,RT @UN_Radio: Listen to Maya Angelou's poem for @UNICEF and @UNIFEM from 1996: http://t.co/mlHfw7FiGf #unradioclassics http://t.co/3xBphkzP…,UN_Radio,unradioclassics,"","",http://t.co/mlHfw7FiGf,http://pbs.twimg.com/media/Bou7v26CYAA2etL.jpg,191
471680596700577792,Wed May 28 15:53:12 +0000 2014,"","From today to Fri, Canada hosts crucial summit Saving Every Woman, Every Child. Follow #savinglives &amp; @UNICEFlive http://t.co/zqtW8aS0CM",UNICEFLive,savinglives,"","","",http://pbs.twimg.com/media/BopIFeAIIAAkt5m.jpg,299
471676978869714946,Wed May 28 15:38:49 +0000 2014,UNICEFLive,"RT @UNICEFLive: Like you, @UNICEF ExecDir Tony Lake is proud to say #everynewborn deserves a chance. #Canadacares about #savinglives. http:…",UNICEFLive,everynewborn,Canadacares,savinglives,"",http://pbs.twimg.com/media/Bou4hx3CIAAQIMF.jpg,153
471666254374109184,Wed May 28 14:56:12 +0000 2014,UNICEFmena,RT @UNICEFmena: Good progress on #humanitarian response to #Syria crisis - This month's situation report is now available here: http://t.co…,UNICEFmena,humanitarian,Syria,"",http://t.co/jc6Ri97zQ6,"",37
471663490089103360,Wed May 28 14:45:13 +0000 2014,"","When girls are allowed to be girls, we all do better. #endchildmarriagenow http://t.co/xVBfXBWGMv","",endchildmarriagenow,"","","",http://pbs.twimg.com/media/BouvcfRIMAEFKJY.jpg,1055
471527545041870848,Wed May 28 05:45:01 +0000 2014,"",How do we turn data on violence against children into action? Join us &amp; @together4girls in Swaziland http://t.co/QIpw5oBjmO #ENDviolence,together4girls,ENDviolence,"","",http://t.co/QIpw5oBjmO,"",132
471469662057033729,Wed May 28 01:55:01 +0000 2014,"","""I saw people being killed in front of us during the attacks"" - Ibrahim, 11 http://t.co/rFKjAn3CQT via @Refugees #CARCrisis",Refugees,CARCrisis,"","",http://t.co/rFKjAn3CQT,"",65
471455821789134849,Wed May 28 01:00:01 +0000 2014,"","""A gut-wrenching and heart-breaking experience"" A field diary from the Old City of Homs post-siege http://t.co/aml0vRWCMS #childrenofsyria","",childrenofsyria,"","",http://t.co/aml0vRWCMS,"",53
471438204282093568,Tue May 27 23:50:01 +0000 2014,"",Care about social issues and want your voice heard? Aged 14-24? Become a blogging intern for @voicesofyouth: http://t.co/v6WZOai3RX,voicesofyouth,"","","",http://t.co/v6WZOai3RX,"",109
471425871577100288,Tue May 27 23:01:01 +0000 2014,"",".@UNICEFInnovate's 9 to Watch series is here! Learn more about these amazing innovators, each a #ForceForChange: http://t.co/FWtp2YJrZ2",UNICEFinnovate,ForceForChange,"","",http://t.co/FWtp2YJrZ2,"",40
471407502811480064,Tue May 27 21:48:01 +0000 2014,"",Up to 200k children could die from severe malnutrition by year’s end unless we receive emergency funding http://t.co/mZRSiAzjQO via @reuters,Reuters,"","","",http://t.co/mZRSiAzjQO,"",141
471395710936838144,Tue May 27 21:01:10 +0000 2014,"","Nets save lives. In #SouthSudan, families protect themselves from #malaria w/ bed nets. @unicefssudan http://t.co/QPpWTDLJEe",unicefssudan,SouthSudan,malaria,"","",http://pbs.twimg.com/media/BooguvMIQAAEnlq.jpg,346
471384296373370880,Tue May 27 20:15:48 +0000 2014,"","May we all be so determined to change the world as Tay Thi, @NickKristof’s ""graduate of the year"" http://t.co/I1jrOtVSZt #girlseducation",NickKristof,girlseducation,"","",http://t.co/I1jrOtVSZt,"",62
471361235427287040,Tue May 27 18:44:10 +0000 2014,"",RT @UNICEFinnovate @UNICEF and @Socialab_com announce winners of #First72Hours Challenge - http://t.co/jDxk82C6j4,UNICEFinnovate,First72Hours,"","",http://t.co/jDxk82C6j4,"",25
471342322765299713,Tue May 27 17:29:01 +0000 2014,"","How poverty shapes every aspect of life around the world, in 12 infographics. http://t.co/EPyZU8ImUD via @ONECampaign",ONECampaign,"","","",http://t.co/EPyZU8ImUD,"",170
471325436484415489,Tue May 27 16:21:55 +0000 2014,"",1 in 3 women and girls experience violence in their lifetimes. #YesAllWomen @UN_Women #ENDviolence http://t.co/UF6iUQXlBj,UN_Women,YesAllWomen,ENDviolence,"","",http://pbs.twimg.com/media/Bop7_H8CUAAp5wv.png,1166
471192077863501824,Tue May 27 07:32:00 +0000 2014,"","When crisis hits, children are more likely to get sick, be exploited, suffer psychological distress http://t.co/thA7XJW7Ho #voicesofchildren","",voicesofchildren,"","",http://t.co/thA7XJW7Ho,"",196
470959298642980864,Mon May 26 16:07:01 +0000 2014,"","BLOG: How Zambian youth like Josephine, 21, are using #UReport to take charge of their futures http://t.co/IAiphfTNTC via @RicardoP_UNICEF","",UReport,"","",http://t.co/IAiphfTNTC,"",65
470845547998629888,Mon May 26 08:35:01 +0000 2014,"",#BalkanFloods: Get updates on recovery effort for children affected from @unicefsrbija @UNICEFBiH @UNICEFHrvatska http://t.co/Y8PVxF7965,unicefsrbija,BalkanFloods,"","","",http://pbs.twimg.com/media/BoOii2aIUAAfLQI.jpg,219
470749921768132608,Mon May 26 02:15:02 +0000 2014,"","At #WorldCup2014, it's in your hands to protect children - with the #ProtejaBrasil app http://t.co/ayvqJPOwEN http://t.co/piboVAeRwr","",WorldCup2014,ProtejaBrasil,"",http://t.co/ayvqJPOwEN,http://pbs.twimg.com/media/BohwjznIIAEX2jN.jpg,218
470663120705568768,Sun May 25 20:30:07 +0000 2014,"",@ChiRelleta Thanks for the support!,ChiRelleta,"","","","","",2
470663017798328320,Sun May 25 20:29:42 +0000 2014,"",@BrittaneyPeacoc @eu_echo Hi Brittaney check out http://t.co/AbSE763VXE Best wishes!,BrittaneyPeacoc,"","","",http://t.co/AbSE763VXE,"",4
470662019012890625,Sun May 25 20:25:44 +0000 2014,unicefusa,RT @unicefusa: Join the light side - become a #ForceforChange! How to help @UNICEF &amp; enter to win a trip to the @starwars Ep:VII set http:/…,unicefusa,ForceforChange,"","",http://t.co/9ctETVcCte,"",57
470648500670431232,Sun May 25 19:32:01 +0000 2014,"",During emergencies it is children who suffer most. But their stories remain unheard. Be their voice http://t.co/thA7XJW7Ho #voicesofchildren,"",voicesofchildren,"","",http://t.co/thA7XJW7Ho,"",221
470572748092497921,Sun May 25 14:31:00 +0000 2014,"",We work with @eu_echo to increase resilience of communities &amp; to help them prepare for emergencies http://t.co/thA7XJW7Ho #voicesofchildren,eu_echo,voicesofchildren,"","",http://t.co/thA7XJW7Ho,"",71
470475859883982848,Sun May 25 08:06:00 +0000 2014,"","INSPIRING: Meet Josephine, 21, a #UReport-er from #Zambia making a difference in her community http://t.co/r6tJdorjZ8 @UNICEFInnocenti",UNICEFInnocenti,UReport,Zambia,"",http://t.co/r6tJdorjZ8,"",58
470392565712551936,Sun May 25 02:35:01 +0000 2014,"",5.7m #childrenofsyria’s lives have been turned upside down by conflict #voicesofchildren @eu_echo http://t.co/3eFOn7ofKd,eu_echo,childrenofsyria,voicesofchildren,"","",http://pbs.twimg.com/media/BoPIFW5IMAEbidi.jpg,668
