name,twitter,followers,followees,location,link,ratio
University for Peace,@UPEACE,17433,3759,Costa Rica,https://twitter.com/UPEACE,4.637669592976856
WF | Nonprofit Media,@worthwhilefilms,17405,3409,"Northfield, MSP, MN, US, Earth",https://twitter.com/worthwhilefilms,5.105602816075096
1% for the Planet,@1PercentFTP,17380,2893,Vermont,https://twitter.com/1PercentFTP,6.007604562737643
EcoTweetHub&FBGroup ,@ecoleaders,17314,18555,Tokyo & FB Group Eco Leaders,https://twitter.com/ecoleaders,0.933117758016707
Shane Shirley,@EnviroBooty,17310,13012,USA,https://twitter.com/EnviroBooty,1.3303104826314172
Magdalena Roze,@Magdalena_Roze,17130,943,,https://twitter.com/Magdalena_Roze,18.16542948038176
Climate Home,@ClimateHome,17079,543,London,https://twitter.com/ClimateHome,31.45303867403315
Scott Ankeny   ,@GoingGreenToday,17060,1041,,https://twitter.com/GoingGreenToday,16.388088376561
Sea No Plastic,@Oceanwarrior,16781,3806,"Perth, Australia",https://twitter.com/Oceanwarrior,4.409090909090909
Natasha Mitchell,@natashamitchell,16748,8546,ears and the ether,https://twitter.com/natashamitchell,1.9597472501755206
Renewable Energy Hub,@TheRenEnergyHub,16743,3896,England Uk,https://twitter.com/TheRenEnergyHub,4.297484599589322
Question Time tweets,@LatikaQT,16726,15913,Canberra,https://twitter.com/LatikaQT,1.0510903035254195
Dr. Cynthia Howard ,@masterwellbeing,16690,15097,,https://twitter.com/masterwellbeing,1.1055176525137445
NITV,@NITV,16641,4070,Australia,https://twitter.com/NITV,4.088697788697789
ChicagoBotanicGarden,@chicagobotanic,16631,6988,"Glencoe, Illinois",https://twitter.com/chicagobotanic,2.3799370349170004
The Solar Company,@TheSolarCo,16477,15160,"Bay Area, California",https://twitter.com/TheSolarCo,1.086873350923483
Wildlife Land Trust,@wlt_au,16349,13402,"Sydney, Australia",https://twitter.com/wlt_au,1.2198925533502463
DeSmogBlog,@DeSmogBlog,16338,5775,Everywhere,https://twitter.com/DeSmogBlog,2.829090909090909
Glen Murray,@Glen4ONT,16303,5419,,https://twitter.com/Glen4ONT,3.0084886510426276
Ahni,@indigenous_news,16261,5625,Winnipeg,https://twitter.com/indigenous_news,2.8908444444444443
John Bergin,@theburgerman,16221,13437,"Sydney, Australia",https://twitter.com/theburgerman,1.207189104710873
Jeremy Buckingham,@greensjeremy,16167,13292,Town & Country,https://twitter.com/greensjeremy,1.2162955160999098
Melissa Clarke,@Clarke_Melissa,16098,1571,"Parliament House, Canberra",https://twitter.com/Clarke_Melissa,10.246976448122215
EDGE of Existence,@EDGEofExistence,16092,2268,London,https://twitter.com/EDGEofExistence,7.095238095238095
Mark Butler MP,@Mark_Butler_MP,16019,1614,Member for Port Adelaide,https://twitter.com/Mark_Butler_MP,9.925030978934325
Arbor Day Foundation,@arborday,16016,3740,"Lincoln, NE/Nebraska City, NE",https://twitter.com/arborday,4.2823529411764705
Shannon Boles,@GannonBolesxhy,15982,11894,Sacramento,https://twitter.com/GannonBolesxhy,1.3437027072473515
Ming The Merciless,@MGliksmanMDPhD,15980,15256,Sydney & Mullumbimby,https://twitter.com/MGliksmanMDPhD,1.0474567383324593
Angela Brady PPRIBA,@angelabradyRIBA,15731,10782,London Dublin Cork +,https://twitter.com/angelabradyRIBA,1.459005750324615
SeaTurtleConservancy,@conserveturtles,15726,7221,"Gainesville, FL",https://twitter.com/conserveturtles,2.1778147071042793
Sailors for the Sea,@SailorsforSea,15725,12210,"Newport, RI",https://twitter.com/SailorsforSea,1.2878787878787878
Wendy Bacon,@Wendy_Bacon,15669,3077,Sydney,https://twitter.com/Wendy_Bacon,5.092297692557686
Collab Consumption,@collcons,15566,1235,,https://twitter.com/collcons,12.60404858299595
m.a.d.woman,@msmadwoman,15524,14053,Australia,https://twitter.com/msmadwoman,1.1046751583291823
Celebrity Auction,@Celeb_Auction,15505,3645,"Honolulu, Hawaii ",https://twitter.com/Celeb_Auction,4.253772290809328
NCAR & UCAR Science,@AtmosNews,15492,7361,"Boulder, CO, USA",https://twitter.com/AtmosNews,2.104605352533623
Aboriginal Health ,@NACCHOAustralia,15443,4997,150 members around Australia,https://twitter.com/NACCHOAustralia,3.090454272563538
urbanpermaculture,@permagriculture,15375,5533,UK,https://twitter.com/permagriculture,2.778781854328574
Jackie Bigford ,@JackiesBuzz,15279,13657,Ottawa Canada,https://twitter.com/JackiesBuzz,1.118766932708501
Agribusiness,@iAgribusiness,15218,15583,Global/Australia,https://twitter.com/iAgribusiness,0.9765770390810499
Centre Social Impact,@CSIsocialimpact,15209,10005,Australia,https://twitter.com/CSIsocialimpact,1.5201399300349825
ACOSS,@ACOSS,15032,1497,"Sydney, Australia",https://twitter.com/ACOSS,10.041416165664662
Lorna Li,@lornali,15025,14938,Digital Nomad,https://twitter.com/lornali,1.0058240728343821
Taronga Zoo,@tarongazoo,14922,488,Taronga Zoo Sydney,https://twitter.com/tarongazoo,30.577868852459016
TEDxMelbourne,@TEDxMelbourne,14877,3962,"Melbourne, Australia",https://twitter.com/TEDxMelbourne,3.754921756688541
Frack Action ,@FrackAction,14859,904,"New York, USA",https://twitter.com/FrackAction,16.436946902654867
Cathy McGowan,@Indigocathy,14802,13510,"Indigo Valley, Victoria",https://twitter.com/Indigocathy,1.0956328645447817
GEO,@GEOfunders,14791,939,,https://twitter.com/GEOfunders,15.751863684771033
SBS 2,@SBS2,14731,3213,Australia,https://twitter.com/SBS2,4.584811702458762
Data for Social Good,@datascifellows,14698,195,"Chicago, IL",https://twitter.com/datascifellows,75.37435897435897
Ken Oatman ,@KenOatman,14678,14505,"Boulder, Colorado",https://twitter.com/KenOatman,1.0119269217511202
Australian Museum,@austmus,14668,2463,Sydney,https://twitter.com/austmus,5.9553390174583845
Jennifer Knoll,@JenniferKnoll,14620,5164,Marin County,https://twitter.com/JenniferKnoll,2.831138652207591
Senator Lee Rhiannon,@leerhiannon,14608,3317,Sydney,https://twitter.com/leerhiannon,4.403979499547784
Sir U Bet I'm Gone,@johndory49,14469,13732,,https://twitter.com/johndory49,1.0536702592484708
Miningne.ws,@Mining_News,14398,1071,Johannesburg ,https://twitter.com/Mining_News,13.443510737628385
David Rogers,@GreatConfidence,14303,15249,"Bournemouth, UK",https://twitter.com/GreatConfidence,0.9379631451242705
Jenna Price,@JennaPrice,14299,4943,Sydney,https://twitter.com/JennaPrice,2.8927776653853936
SCA,@the_sca,14259,4006,Parks & Forests everywhere,https://twitter.com/the_sca,3.5594108836744884
News Talk 2UE 954,@NewsTalk2UE,14251,1284,Sydney Australia,https://twitter.com/NewsTalk2UE,11.098909657320872
Ecosaveology,@Ecosaveology,14238,5664,"Southlake, TX",https://twitter.com/Ecosaveology,2.5137711864406778
Planet Forward,@planet_forward,14126,4059,"Washington, DC",https://twitter.com/planet_forward,3.4801675289480167
Richard Marles,@RichardMarlesMP,14110,3781,Geelong,https://twitter.com/RichardMarlesMP,3.7318169796350174
David Hood,@DavidAHood,14035,11102,Melbourne,https://twitter.com/DavidAHood,1.264186633039092
National Farmers Fed,@NationalFarmers,13795,3500,"Canberra, ACT",https://twitter.com/NationalFarmers,3.9414285714285713
Rachel Beer,@rachelbeer,13758,10126,Kent & London,https://twitter.com/rachelbeer,1.3586806241358877
Elaine Hsieh,@elaineishere,13726,2038,"Oakland, California",https://twitter.com/elaineishere,6.735034347399411
