name,# followers,followees,location,link,ratio
@ThePlanetMark,9721,4503,London,https://twitter.com/ThePlanetMark,2.1587830335332
@MurdochUni,9721,1990,"Perth, Western Australia",https://twitter.com/MurdochUni,4.884924623115578
@themercurycomau,9667,807,"Tasmania, Australia",https://twitter.com/themercurycomau,11.978934324659232
@TheIPA,9643,4691,"Melbourne, Australia",https://twitter.com/TheIPA,2.0556384566190578
@KeepCup,9637,1569,Australia - Global,https://twitter.com/KeepCup,6.142128744423199
@TheCairnsPost,9623,1964,"Cairns, Australia",https://twitter.com/TheCairnsPost,4.89969450101833
@irwinkula,9600,6075,"T: 40.774961,-74.071438",https://twitter.com/irwinkula,1.5802469135802468
@FoEAustralia,9593,1004,Australia,https://twitter.com/FoEAustralia,9.554780876494023
@josephroy,9583,11660,"Hartland NB, Canada",https://twitter.com/josephroy,0.821869639794168
@ANMMuseum,9562,2877,"Sydney, Australia",https://twitter.com/ANMMuseum,3.32360097323601
@marshall_steven,9556,3800,"Adelaide, South Australia",https://twitter.com/marshall_steven,2.514736842105263
@unionsaustralia,9537,8344,Australia,https://twitter.com/unionsaustralia,1.1429769894534996
@ValleyCrest,9528,5885,,https://twitter.com/ValleyCrest,1.6190314358538658
@SAFARITALK,9470,10151,Africa / Europe Join me @,https://twitter.com/SAFARITALK,0.9329130134962073
@CANIntl,9443,1013,Global,https://twitter.com/CANIntl,9.321816386969397
@Carlton281,9438,1557,Australia,https://twitter.com/Carlton281,6.061657032755298
@scribepub,9425,1876,"Melbourne, Australia",https://twitter.com/scribepub,5.023987206823028
@TCVtweets,9365,1617,,https://twitter.com/TCVtweets,5.791589363017934
@wildweatherdan,9310,9055,"Salisbury,MD WBOC",https://twitter.com/wildweatherdan,1.0281612368856985
@health_xl,9302,8854,"Dublin, Ireland",https://twitter.com/health_xl,1.0505985995030496
@sustainvic,9257,1098,"Victoria, Australia",https://twitter.com/sustainvic,8.430783242258652
@TURISMOECOREC,9207,6490,"PEREIRA, COLOMBIA, SUR AMERICA",https://twitter.com/TURISMOECOREC,1.4186440677966101
@RichardMcLellan,9178,7821,"Geraldton, Australia",https://twitter.com/RichardMcLellan,1.1735072241401356
@WaterAndWaste,9117,3487,Cairns Queensland Australia,https://twitter.com/WaterAndWaste,2.614568396902782
@FairtradeAU,9115,646,Australia,https://twitter.com/FairtradeAU,14.109907120743035
@CWS_global,9115,6811,,https://twitter.com/CWS_global,1.338276317721333
@windpurifier,9065,11383,,https://twitter.com/windpurifier,0.7963629974523412
@iamgreenbean,9056,8981,California,https://twitter.com/iamgreenbean,1.008350963144416
